smiles,score
COc1ccccc1Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,0.46702973581577417
COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,0.5899725950448435
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,0.5107258473998463
Cn1c2nc(Nc3cccc(O)c3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0.5259589486158419
CN1c2c(cnc(n2)Nc3cccc(c3)CO)C=C(C1=O)c4c(cccc4Cl)Cl,0.5462764834607713
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,0.5056414137709125
COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,0.49459891272954376
CCOC(=O)c1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,0.29490659017160076
CCN(CC)CCOc1ccc(cc1)Nc2ncc3c(n2)N(C(=O)C(=C3)c4c(cccc4Cl)Cl)C,0.5747394938288478
Cn1c2nc(Nc3cccc(c3)C(O)=O)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0.5165568414939202
Cn1c2nc(Nc3ccc(CC(O)=O)cc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0.5107258473998463
Cn1c2nc(Nc3ccc(CCCC(O)=O)cc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0.550961175887607
c1ccc(cc1)CCNc2c3ccccc3ncn2,0.39438258424610795
C(Nc1ncnc2ccccc12)c1ccccc1,0.4958228220600679
c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl,0.37310659543742564
COc1ccc(CNc2ncnc3ccccc23)cc1,0.3589202366006023
N(c1ccccc1)c1ncnc2ccccc12,0.4929463462270437
CN(c1ccccc1)c1ncnc2ccccc12,0.2673374132578312
COc1cccc(Nc2ncnc3ccccc23)c1,0.4573431894734021
Cc1cccc(Nc2ncnc3ccccc23)c1,0.45425416487479653
Clc1cccc(Nc2ncnc3ccccc23)c1,0.6005406501247536
Brc1cccc(Nc2ncnc3ccccc23)c1,0.5941631952194704
Ic1cccc(Nc2ncnc3ccccc23)c1,0.550961175887607
FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1,0.472375253257113
N(c1cccnc1)c1ncnc2ccccc12,0.4505030599433734
Brc1cccc(Oc2ncnc3ccccc23)c1,0.46162837688598346
Brc1cccc(Nc2ccnc3ccccc23)c1,0.38269855454184315
Brc1cccc(Nc2nccc3ccccc23)c1,0.2673374132578312
Brc1cccc(Nc2cnnc3ccccc23)c1,0.3589202366006023
Brc1cccc(Nc2nncc3ccccc23)c1,0.2673374132578312
Brc1cccc(Nc2cnc3ccccc3n2)c1,0.2673374132578312
Brc1cccc(Nc2nnnc3ccccc23)c1,0.4505030599433734
[O-][N+](=O)c1cccc2ncnc(NCc3ccccc3)c12,0.36779552920206476
Nc1cccc2ncnc(NCc3ccccc3)c12,0.3589202366006023
COc1cccc2ncnc(NCc3ccccc3)c12,0.3872929542742489
[O-][N+](=O)c1ccc2ncnc(NCc3ccccc3)c2c1,0.3589202366006023
Nc1ccc2ncnc(NCc3ccccc3)c2c1,0.4371202418664272
