smiles,vina_score
CN(C)c1cccc(Nc2ncnc3cc(N)ncc23)c1,-7.1
CN(C)c1ccc(Nc2ncnc3cc(N)ncc23)cc1,-8.0
Nc1cc2ncnc(Nc3cccc(F)c3)c2cn1,-7.7
Nc1cc2ncnc(Nc3cccc(Cl)c3)c2cn1,-7.0
Nc1cc2ncnc(Nc3cccc(I)c3)c2cn1,-8.1
Nc1cc2ncnc(Nc3cccc(O)c3)c2cn1,-7.9
Cc1cccc(Nc2ncnc3cc(N)ncc23)c1,-7.3
Nc1cc2ncnc(Nc3cccnc3)c2cn1,-7.4
CC(=O)Nc1cccc(Nc2ncnc3cc(N)ncc23)c1,-7.5
CC(=O)Nc1ccc(Nc2ncnc3cc(N)ncc23)cc1,-7.4
Nc1cc2ncnc(NCc3ccccc3)c2cn1,-8.2
Nc1cc2ncnc(NCc3ccccc3[N+]([O-])=O)c2cn1,-7.4
Nc1cc2ncnc(NCc3cccc(c3)[N+]([O-])=O)c2cn1,-7.6
Nc1cc2ncnc(NCc3ccc(cc3)[N+]([O-])=O)c2cn1,-7.5
Nc1cc2ncnc(NCc3ccccc3Br)c2cn1,-7.4
Nc1cc2ncnc(NCc3cccc(Br)c3)c2cn1,-7.3
Nc1cc2ncnc(NCc3ccc(Br)cc3)c2cn1,-7.7
Nc1cc2ncnc(NCc3ccccc3C(F)(F)F)c2cn1,-7.6
Nc1cc2ncnc(NCc3cccc(c3)C(F)(F)F)c2cn1,-7.8
Nc1cc2ncnc(NCc3ccc(cc3)C(F)(F)F)c2cn1,-7.2
COc1ccccc1CNc1ncnc2cc(N)ncc12,-7.2
COc1cccc(CNc2ncnc3cc(N)ncc23)c1,-7.2
COc1ccc(CNc2ncnc3cc(N)ncc23)cc1,-7.6
Nc1cc2ncnc(NCc3ccccc3N)c2cn1,-7.8
Nc1cccc(CNc2ncnc3cc(N)ncc23)c1,-7.0
Nc1ccc(CNc2ncnc3cc(N)ncc23)cc1,-6.6
CN(C)c1ccccc1CNc1ncnc2cc(N)ncc12,-7.0
CN(C)c1cccc(CNc2ncnc3cc(N)ncc23)c1,-7.1
CN(C)c1ccc(CNc2ncnc3cc(N)ncc23)cc1,-5.1
CNC(=O)c1c(SSc2c(C(=O)NC)c3ccccc3n2C)n(C)c2ccccc12,6.1
NC(Cc1c(SSc2[nH]c3ccccc3c2CC(N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,-0.5
Cn1c([Se][Se]c2c(C(=O)OC(C)(C)C)c3ccccc3n2C)c(C(=O)OC(C)(C)C)c2ccccc12,-7.9
Cn1c([Se][Se]c2c(C(O)=O)c3ccccc3n2C)c(C(O)=O)c2ccccc12,-5.7
CNC(=O)c1c([Se][Se]c2c(C(=O)NC)c3ccccc3n2C)n(C)c2ccccc12,12.1
CCN(CC)CCNC(=O)c1c([Se][Se]c2c(C(=O)NCCN(CC)CC)c3ccccc3n2C)n(C)c2ccccc12,-7.7
CNC(=O)c1c([Se][Se]c2[nH]c3ccccc3c2C(=O)NC)[nH]c2ccccc12,2.6
