Ligand SMILES,Affinity_nM
COC1CCN(CC1)c1nccc(Nc2cc3N(CCc3cn2)C(C)C)n1, 1500
COC1CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(=O)[nH]c3cn2)n1, 156
COC1CCN(CC1)c1nccc(Nc2cc3c(n[nH]c3cn2)C(C)C)n1, 42
COC1CCN(CC1)c1nccc(Nc2cc3n(nc(N)c3cn2)C(C)C)n1, 37
COC1CCN(CC1)c1nccc(Nc2cc3n(cnc3cn2)C(C)C)n1, 211
COC1CCN(CC1)c1nccc(Nc2cc3n(ccc3cn2)C2CCCC2)n1, 20
COC1CCN(CC1)c1nccc(Nc2cc3n(ccc3cn2)C(C)C)n1, 62
COC1CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(cc3cn2)-c2cn[nH]c2)n1, 367
COC1CCN(CC1)c1nccc(Nc2cc3[nH]c(cc3cn2)-c2cn[nH]c2)n1, 114
COC1CCN(CC1)c1nccc(Nc2cc3[nH]c(nc3cn2)-c2cn[nH]c2)n1, 51
COC1CCN(CC1)c1nccc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)n1, 32
OC1CCN(CC1)c1nccc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)n1, 76
C[C@@H](CO)Nc1nc(C)cc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)n1, 9.0
COC1CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(=O)ccc3cn2)n1, 82
COC1CCN(CC1)c1nccc(Nc2cc3N(CCc3cn2)C(C)C)n1, 423
COC1CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(=O)[nH]c3cn2)n1, 114
COC1CCN(CC1)c1nccc(Nc2cc3c(n[nH]c3cn2)C(C)C)n1, 18
COC1CCN(CC1)c1nccc(Nc2cc3n(nc(N)c3cn2)C(C)C)n1, 12
COC1CCN(CC1)c1nccc(Nc2cc3n(cnc3cn2)C(C)C)n1, 40
COC1CCN(CC1)c1nccc(Nc2cc3n(ccc3cn2)C2CCCC2)n1, 17
COC1CCN(CC1)c1nccc(Nc2cc3n(ccc3cn2)C(C)C)n1, 33
COC1CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(cc3cn2)-c2cn[nH]c2)n1, 16
COC1CCN(CC1)c1nccc(Nc2cc3[nH]c(cc3cn2)-c2cn[nH]c2)n1, 66
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC, 24
COc1ccc2c(N[C@@H]3C[C@H]3c3ccccc3)c(cnc2c1)C#N, 180
COc1ccc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2c1, 360
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCCc1cccnc1, 68
N#Cc1cnc2ccc(cc2c1N[C@@H]1C[C@H]1c1ccccc1)-c1ccc(CN2CCOCC2)cc1, 400
NCc1ccc(cc1)-c1ccc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2c1, 40
COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(cnc2cc1OC1CCN(C)CC1)C#N, 360
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1, 120
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccc(Cl)cc3)c2cc1OC, 44
COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(cnc2cc1OCCCc1cccnc1)C#N, 220
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccc(Oc4ccccc4)cc3)c2cc1OC, 80
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3cccc(Br)c3)c2cc1OC, 52
COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(cnc2cc1OCCCN1CCOCC1)C#N, 8.4
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccc(Br)cc3)c2cc1OC, 220
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3F)c2cc1OC, 36
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCN1CCOCC1, 64
COCCOc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC, 60
COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(cnc2cc1OCCCN1CCN(C)CC1)C#N, 3
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCCN1CCOCC1, 52
N#Cc1cnc2ccc(cc2c1N[C@@H]1C[C@H]1c1ccccc1)-c1cccc(CN2CCOCC2)c1, 340
N#Cc1cnc2cc(ccc2c1N[C@@H]1C[C@H]1c1ccccc1)-c1ccc(CN2CCOCC2)cc1, 80
Cn1nccc1-c1nc2c(COC2(C)C)c(Nc2n[nH]c3ccccc23)n1, 1.1
Cn1nccc1-c1nc2c(COC2(C)C)c(Nc2n[nH]c3ccccc23)n1,<0.500000
Cn1nccc1-c1nc2c(COC2(C)C)c(Nc2n[nH]c3ccccc23)n1,<0.500000
Cn1nccc1-c1nc2c(COC2(C)C)c(Nc2n[nH]c3ccccc23)n1, 21
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cccc12)-c1cn[nH]c1C(F)F, 9.0
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cccc12)-c1cn[nH]c1C(F)F, 6.5
